channel1,channel2
30.82,30.82
30.99,30.99
29.66,29.66
27.84,27.84
25.78,25.78
23.49,23.49
21.46,21.46
19.7,19.7
18.7,18.7
18.46,18.46
18.97,18.97
19.72,19.72
20.46,20.46
20.2,20.2
19.17,19.17
18.41,18.41
18.15,18.15
18.14,18.14
17.62,17.62
16.37,16.37
14.61,14.61
13.13,13.13
12.4,12.4
12.68,12.68
13.45,13.45
14.22,14.22
14.47,14.47
13.98,13.98
12.73,12.73
10.74,10.74
8.52,8.52
6.57,6.57
6.13,6.13
7.7,7.7
10.26,10.26
12.03,12.03
11.8,11.8
9.3,9.3
5.59,5.59
2.4,2.4
0.99,0.99
0.85,0.85
1.21,1.21
2.31,2.31
4.16,4.16
5.98,5.98
5.79,5.79
3.6,3.6
0.18,0.18
-2.46,-2.46
-3.57,-3.57
-2.93,-2.93
-1.54,-1.54
-0.66,-0.66
-1.54,-1.54
-3.66,-3.66
-6.27,-6.27
-8.34,-8.34
-8.9,-8.9
-7.45,-7.45
-5.02,-5.02
-1.85,-1.85
0.79,0.79
1.9,1.9
1.25,1.25
-1.64,-1.64
-6.25,-6.25
-12.08,-12.08
-17.09,-17.09
-20.31,-20.31
-21.5,-21.5
-21.42,-21.42
-21.09,-21.09
-20.51,-20.51
-19.43,-19.43
-17.61,-17.61
-15.8,-15.8
-15.01,-15.01
-15.22,-15.22
-15.93,-15.93
-16.13,-16.13
-14.82,-14.82
-11.28,-11.28
-6.51,-6.51
-2.04,-2.04
0.64,0.64
0.05,0.05
-3.04,-3.04
-7.35,-7.35
-10.86,-10.86
-12.1,-12.1
-10.57,-10.57
-7.05,-7.05
-2.57,-2.57
1.63,1.63
4.54,4.54
4.66,4.66
3.04,3.04
0.93,0.93
0.09,0.09
1.26,1.26
4.67,4.67
9.3,9.3
13.88,13.88
17.42,17.42
18.17,18.17
16.16,16.16
11.67,11.67
6.47,6.47
3.07,3.07
2.69,2.69
5.07,5.07
8.43,8.43
11.25,11.25
13.3,13.3
14.58,14.58
15.09,15.09
14.59,14.59
12.6,12.6
9.13,9.13
4.93,4.93
0.77,0.77
-2.6,-2.6
-4.19,-4.19
-4.26,-4.26
-2.58,-2.58
-0.42,-0.42
0.47,0.47
-0.39,-0.39
-2.0,-2.0
-3.09,-3.09
-3.68,-3.68
-4.5,-4.5
-7.07,-7.07
-9.86,-9.86
-11.63,-11.63
-10.88,-10.88
-8.38,-8.38
-5.91,-5.91
-4.95,-4.95
-5.51,-5.51
-6.31,-6.31
-6.85,-6.85
